Order_ID,Product_Name,Category,City,Supplier,Import_Cost,Selling_Price,Quantity_Sold,Shipment_Delay_Days,Order_Date,Delivery_Date,Profit,Damaged_Goods,Month,Year
ORD00001,Home Decor,Home Decor,Mumbai,Yiwu Global Trade,153.26,381.64,9,3,2023-04-13,2023-04-16,2055.42,False,4,2023
ORD00002,Home Decor,Home Decor,Nagpur,Yiwu Global Trade,97.31,225.93,1,2,2023-01-21,2023-01-23,128.62,False,1,2023
ORD00003,Kitchen Gadgets,Kitchen Gadgets,Nagpur,Yiwu Global Trade,306.17,836.21,1,0,2024-04-11,2024-04-11,530.04,False,4,2024
ORD00004,Bluetooth Speakers,Bluetooth Speakers,Thane,Shenzhen Traders,353.57,871.22,7,3,2024-10-25,2024-10-28,3623.55,False,10,2024
ORD00005,Smart Watches,Smart Watches,Mumbai,Guangzhou Imports,1750.8,3973.05,27,4,2023-11-05,2023-11-09,60000.75,False,11,2023
ORD00006,LED Lights,LED Lights,Thane,Dragon Supply Co,324.89,912.01,22,11,2023-07-11,2023-07-22,12916.64,False,7,2023
ORD00007,Kitchen Gadgets,Kitchen Gadgets,Aurangabad,Yiwu Global Trade,218.42,567.2,2,0,2023-06-10,2023-06-10,697.56,False,6,2023
ORD00008,Kitchen Gadgets,Kitchen Gadgets,Nagpur,Guangzhou Imports,303.19,649.2,3,8,2024-07-14,2024-07-22,1038.03,False,7,2024
ORD00009,Smart Watches,Smart Watches,Thane,Shenzhen Traders,1646.46,3793.61,1,2,2024-05-25,2024-05-27,2147.15,False,5,2024
ORD00010,Smart Watches,Smart Watches,Pune,Shenzhen Traders,890.93,1972.15,1,1,2023-07-09,2023-07-10,1081.22,False,7,2023
ORD00011,Home Decor,Home Decor,Nagpur,Yiwu Global Trade,129.36,407.21,2,2,2024-07-16,2024-07-18,555.7,False,7,2024
ORD00012,Bluetooth Speakers,Bluetooth Speakers,Aurangabad,Shenzhen Traders,702.0,1607.49,4,4,2024-04-29,2024-05-03,3621.96,False,4,2024
ORD00013,LED Lights,LED Lights,Thane,Shenzhen Traders,373.21,896.14,3,0,2023-01-21,2023-01-21,1568.79,False,1,2023
ORD00014,Kitchen Gadgets,Kitchen Gadgets,Mumbai,Guangzhou Imports,249.8,723.47,1,9,2023-12-12,2023-12-21,473.67,False,12,2023
ORD00015,Mobile Accessories,Mobile Accessories,Mumbai,Yiwu Global Trade,206.65,527.9,3,3,2023-12-06,2023-12-09,963.75,False,12,2023
ORD00016,Bluetooth Speakers,Bluetooth Speakers,Pune,Shenzhen Traders,898.53,1794.21,10,7,2023-02-04,2023-02-11,8956.8,False,2,2023
ORD00017,LED Lights,LED Lights,Mumbai,Shenzhen Traders,218.4,585.42,7,4,2024-07-15,2024-07-19,2569.14,False,7,2024
ORD00018,Bluetooth Speakers,Bluetooth Speakers,Nagpur,Shenzhen Traders,607.43,1261.02,4,0,2023-04-16,2023-04-16,2614.36,False,4,2023
ORD00019,LED Lights,LED Lights,Nashik,Shenzhen Traders,308.87,700.15,14,4,2024-04-21,2024-04-25,5477.92,False,4,2024
ORD00020,LED Lights,LED Lights,Pune,Dragon Supply Co,288.89,853.33,1,13,2023-09-28,2023-10-11,564.44,False,9,2023
ORD00021,Smart Watches,Smart Watches,Pune,Shenzhen Traders,772.37,1931.11,4,4,2024-12-27,2024-12-31,4634.96,False,12,2024
